Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
0.0,0.041572359999999996,0.0,0.0,0.0,0.0,0.0,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026632463764571745,0.01,0.05,0.0,0.0,0.002,0.0
2.3783548194030122e-26,0.041572359999999996,5.362786741268723e-24,9.05627776821806e-51,3.2307606199569923e-24,-3.321518383898415e-222,5.363566362443551e-24,0.938,9.990713946553713e-118,1.542481044313248e-24,5.1584635339550905e-74,7.796211748271764e-28,2.2344944755286313e-22,0.0,0.0,0.026632463764571745,0.01,0.05,3.9674099681392406e-127,4.025669345027992e-149,0.002,-1.9728206689391704e-238
6.659393494328435e-26,0.041572359999999996,1.5015802875552425e-23,5.469991772003907e-50,9.046129735879579e-24,1.1669512974112111e-219,1.501798581484194e-23,0.938,6.077838846397371e-116,4.318946924077095e-24,6.124127907511748e-73,2.1829392895160935e-27,6.256584531480174e-22,0.0,0.0,0.026632463764571745,0.01,0.05,1.4139480369930924e-116,4.4484767051466365e-147,0.002,1.2456295321011574e-235
1.5221470844179277e-25,0.041572359999999996,3.432183514411983e-23,2.6335655749981055e-49,2.067686796772475e-23,1.284131275254041e-216,3.432682471963872e-23,0.938,2.743826982072128e-114,9.871878683604788e-24,6.012705095178857e-72,4.989575518893928e-27,1.4300764643383258e-21,0.0,0.0,0.026632463764571745,0.01,0.05,2.7268997855572803e-115,4.024647228309319e-145,0.002,2.747007520069787e-232
3.234562554388096e-25,0.041572359999999996,7.293389968125464e-23,1.1501472765639945e-48,4.39383444314151e-23,9.464479498729774e-214,7.294450252923228e-23,0.938,1.0360168608282492e-112,2.0977742202660176e-23,5.3181695649680136e-71,1.0602847977649596e-26,3.0389124867189427e-21,0.0,0.0,0.026632463764571745,0.01,0.05,4.668048447715271e-114,3.0459136995837993e-143,0.002,4.050184776878403e-229
6.659393494328434e-25,0.041572359999999996,1.5015802875552424e-22,4.8016384727119104e-48,9.046129735879578e-23,5.779223361678077e-211,1.501798581484194e-22,0.938,3.594423768510785e-111,4.318946924077095e-23,4.470241963111959e-70,2.1829392895160935e-26,6.256584531480176e-21,0.0,0.0,0.026632463764571745,0.01,0.05,7.706218793978747e-113,2.1160703139040087e-141,0.002,4.9469626639582615e-226
1.350905537420911e-24,0.041572359999999996,3.046062869040635e-22,1.9616259897093822e-47,1.8350720321355715e-22,3.2263576807432584e-208,3.0465056938679366e-22,0.938,1.1970931881605027e-109,8.76129233169925e-23,3.6649744420053846e-69,4.428248273018361e-26,1.2691928621002641e-20,0.0,0.0,0.026632463764571745,0.01,0.05,1.251915651697905e-111,1.4103519025187291e-139,0.002,5.523890476146002e-223
2.720837913397046e-24,0.041572359999999996,6.135028032011419e-22,7.929205887426502e-47,3.6959901492307984e-22,1.7242422592507784e-205,6.135919918635421e-22,0.938,3.9075115459418475e-108,1.764598314694356e-22,2.9679913240193924e-68,8.918866240022897e-26,2.556261680004757e-20,0.0,0.0,0.026632463764571745,0.01,0.05,2.0181948926933294e-110,9.210138088478592e-138,0.002,5.90443317084552e-220
5.460702665349316e-24,0.041572359999999996,1.2312958357952989e-21,3.1882988134274153e-46,7.417826383421252e-22,9.018481600571772e-203,1.2314748368170391e-21,0.938,1.2628402108371146e-106,3.5415364777432176e-22,2.3888976269872304e-67,1.7900102174031968e-25,5.1303993158137415e-20,0.0,0.0,0.026632463764571745,0.01,0.05,3.241215041723696e-109,5.9540560706895905e-136,0.002,6.1766387975599326e-217
1.0940432169253855e-23,0.041572359999999996,2.466881900983613e-21,1.2786504243402664e-45,1.486149885180216e-21,4.6668655626842127e-200,2.4672405267240333e-21,0.938,4.061104863817062e-105,7.095412803840941e-22,1.9169398981508336e-66,3.586257404205011e-25,1.0278674587431707e-19,0.0,0.0,0.026632463764571745,0.01,0.05,5.195626570859137e-108,3.829774118040478e-134,0.002,6.392614839173481e-214
2.1899891177062933e-23,0.041572359999999996,4.93805403136024e-21,5.121271102609895e-45,2.9748843788563963e-21,2.4021688656765865e-197,4.938771906538021e-21,0.938,1.3027655941001757e-103,1.4203165456036389e-21,1.535884630799616e-65,7.178751777808639e-25,2.0575225130667618e-19,0.0,0.0,0.026632463764571745,0.01,0.05,8.320748510077145e-107,2.4572111772641664e-132,0.002,6.580956549218668e-211
4.3818809192681096e-23,0.041572359999999996,9.880398292113496e-21,2.049843082850578e-44,5.952353366208755e-21,1.2331814077488961e-194,9.881834666165997e-21,0.938,4.173996729938561e-102,2.8418670760427284e-21,1.2296415882760785e-64,1.4363740525015896e-24,4.1168326217139387e-19,0.0,0.0,0.026632463764571745,0.01,0.05,1.3319394413098243e-105,1.5745879884494859e-130,0.002,6.7568391284697535e-208
8.765664522391741e-23,0.041572359999999996,1.9765086813620008e-20,8.202042375979057e-44,1.190729134091346e-20,6.3222767015066015e-192,1.976796018542195e-20,0.938,1.3365030521351436e-100,5.6849681369209074e-21,9.840869838477591e-64,2.873371801943041e-24,8.235452839008266e-19,0.0,0.0,0.026632463764571745,0.01,0.05,2.131598849936432e-104,1.0083680998194998e-128,0.0019999999999999996,6.9282040327562475e-205
