Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),N2X(36)
0.0,0.048764219312884285,0.0,0.0,0.0,0.0,0.0,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031239778156881656,0.01,0.05,0.0,0.0,0.002,0.0,0.0
2.2479827329348947e-26,0.048764219312884285,5.489782646236e-24,1.9565926594976222e-48,9.88985346413866e-24,-1.946178588909538e-209,5.494689582070262e-24,0.938,6.0129143715009e-112,4.409327769767573e-24,7.098030594160369e-70,4.9069358342632845e-27,2.287409435931666e-22,0.0,0.0,0.031239778156881656,0.01,0.05,1.6184380885740184e-121,6.895229629428509e-140,0.002,-4.0120653847028445e-225,1.443250712763667e-141
6.294351652217706e-26,0.048764219312884285,1.5371391409460802e-23,1.1817819663365663e-47,2.769158969958825e-23,6.837522397953301e-207,1.5385130829796738e-23,0.938,3.65794925980236e-110,1.2346117755349204e-23,8.426781921387213e-69,1.3739420335937197e-26,6.404746420608664e-22,0.0,0.0,0.031239778156881656,0.01,0.05,1.40935365015999e-111,7.619420739621052e-138,0.002,2.5331988953829415e-222,2.262237473091287e-131
1.4387089490783326e-25,0.048764219312884285,3.5134608935910394e-23,5.68977145381912e-47,6.329506217048743e-23,7.524115514260325e-204,3.5166013325249683e-23,0.938,1.6513731496297673e-108,2.8219697726512466e-23,8.273464460553394e-68,3.140438933928502e-26,1.4639420389962661e-21,0.0,0.0,0.031239778156881656,0.01,0.05,2.7180391821554846e-110,6.893478958421093e-136,0.002,5.586505650255113e-219,8.951996856297399e-130
3.057256516791457e-25,0.048764219312884285,7.466104398880959e-23,2.484872677562016e-46,1.3450200711228578e-22,5.545526256029443e-201,7.472777831615557e-23,0.938,6.235270801388188e-107,5.996685766883898e-23,7.317785621355715e-67,6.673432734598068e-26,3.1108768328670654e-21,0.0,0.0,0.031239778156881656,0.01,0.05,4.652880407352734e-109,5.217088804604312e-134,0.002,8.236737604612262e-216,3.076966139638396e-128
6.294351652217706e-25,0.048764219312884285,1.5371391409460798e-22,1.0373854280656711e-45,2.7691589699588247e-22,3.386222654498044e-198,1.5385130829796735e-22,0.938,2.163305098498761e-105,1.2346117755349205e-22,6.151039744410121e-66,1.37394203359372e-25,6.404746420608662e-21,0.0,0.0,0.031239778156881656,0.01,0.05,7.681178728726128e-108,3.624438455340911e-132,0.002,1.0060487520331278e-212,1.0171310536306045e-126
1.2768541923070203e-24,0.048764219312884285,3.1181965430620477e-22,4.238057964178497e-45,5.617436767630757e-22,1.890421045581963e-195,3.1209836826159094e-22,0.938,7.204709194311167e-104,2.504498173227981e-22,5.04299401263585e-65,2.787139553861546e-25,1.2992485596091852e-20,0.0,0.0,0.031239778156881656,0.01,0.05,1.2478477617955553e-106,2.4156728807455896e-130,0.002,1.1233768066165155e-209,3.306504711156471e-125
2.5716922464775197e-24,0.048764219312884285,6.280311347293984e-22,1.713090789838044e-44,1.1313992362974623e-21,1.0102859562092106e-192,6.285924881888382e-22,0.938,2.3517370778081885e-102,5.044270968614103e-22,4.083947299882057e-64,5.613534594397198e-25,2.6167963947058203e-20,0.0,0.0,0.031239778156881656,0.01,0.05,2.011637106936788e-105,1.577526911439383e-128,0.002,1.2007666171105787e-206,1.0663445723217563e-123
5.161368354818518e-24,0.048764219312884285,1.2604540955757858e-21,6.888262721469541e-44,2.2707103553662345e-21,5.284202529237208e-190,1.2615807280433326e-21,0.938,7.600407861236353e-101,1.0123816559386346e-21,3.2871160823308857e-63,1.1266324675468503e-24,5.2518920648990816e-20,0.0,0.0,0.031239778156881656,0.01,0.05,3.2306832571409204e-104,1.0198200714771847e-126,0.002,1.2561242475654693e-203,3.425522193526037e-122
1.0340720571500516e-23,0.048764219312884285,2.5253000172685608e-21,2.76250143639017e-43,4.549332593503776e-21,2.7344584046360755e-187,2.527557207752322e-21,0.938,2.444177265438434e-99,2.0282907740930835e-21,2.637703640731535e-62,2.257190483761111e-24,1.0522083405285568e-19,0.0,0.0,0.031239778156881656,0.01,0.05,5.178744253819808e-103,6.559697235650097e-125,0.002,1.300046638300687e-200,1.098282204798047e-120
