Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18)
0.0,0.041572359999999996,0.0,0.938,0.0,0.0,0.026632463764571745,0.01,0.05,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0259667179807673e-26,0.041572359999999996,2.3135490970352395e-24,0.938,0.0,0.0,0.026632463764571745,0.01,0.05,6.179022800153932e-143,1.029807893718231e-155,0.002,-2.462567544760683e-247,-2.9568448023659216e-200,2.3429976382523467e-22,5.924586081241191e-121,6.653902948672893e-26,8.898483678329013e-79,1.6815518262462646e-28,9.63908725771923e-24,2.313380941852615e-24,2.410731304210092e-53,-9.611265541060527e-231,-1.3762096072026227e-168
2.872706810346148e-26,0.041572359999999996,6.4779374716986715e-24,0.938,0.0,0.0,0.026632463764571745,0.01,0.05,2.4291173515042367e-131,1.1379663925037608e-153,0.002,1.5548533653754256e-244,5.3567583394453096e-198,6.560393387106574e-22,3.6042148333181583e-119,1.8630928256284104e-25,1.0564279822923207e-77,4.708345113489541e-28,2.698944432161384e-23,6.4774666371873214e-24,1.4560817077444976e-52,3.376732412311673e-228,1.3927598819969527e-166
6.56618699507691e-26,0.041572359999999996,1.4806714221025533e-23,0.938,0.0,0.0,0.026632463764571745,0.01,0.05,4.6847263207589695e-130,1.0295464247589453e-151,0.002,3.428943981093875e-241,2.2613160479652756e-195,1.4995184884815027e-21,1.6271148608328835e-117,4.258497887150652e-25,1.0372072575493764e-76,1.0761931687976094e-27,6.169015844940307e-23,1.4805638027856734e-23,7.010406632666523e-52,3.71580862705994e-225,2.916653331653526e-164
1.3953147364538434e-25,0.041572359999999996,3.146426771967926e-23,0.938,0.0,0.0,0.026632463764571745,0.01,0.05,8.019557427651561e-129,7.791762561160403e-150,0.002,5.055631122814091e-238,7.2735202548491e-193,3.1864767880231915e-21,6.143676118602908e-116,9.049308010195136e-25,9.173980733079714e-76,2.28691048369492e-27,1.3109158670498153e-22,3.1461980809195566e-23,3.0616287563709637e-51,2.7386759632689398e-222,4.687226057570053e-162
2.8727068103461485e-25,0.041572359999999996,6.47793747169867e-23,0.938,0.0,0.0,0.026632463764571745,0.01,0.05,1.3239036582672342e-127,5.413126921832178e-148,0.002,6.1750314579237906e-235,2.0806174493194228e-190,6.5603933871065664e-21,2.1315266480572052e-114,1.8630928256284103e-24,7.711283580026841e-75,4.708345113489541e-27,2.6989444321613845e-22,6.477466637187322e-23,1.2781697375138312e-50,1.6722969402932117e-219,6.701390297886075e-160
5.827490958130758e-25,0.041572359999999996,1.314095887116016e-22,0.938,0.0,0.0,0.026632463764571745,0.01,0.05,2.150750913604215e-126,3.6078261685080565e-146,0.002,6.895179886785819e-232,5.6260796007037275e-188,1.3308226585273302e-20,7.098873686424045e-113,3.779416874846204e-24,6.322176175146486e-74,9.551214373078784e-27,5.475001562384523e-22,1.3140003749722853e-22,5.221740434354071e-50,9.335905086684169e-217,9.05858512638402e-158
1.1737059253699977e-24,0.041572359999999996,2.6467001670083143e-22,0.938,0.0,0.0,0.026632463764571745,0.01,0.05,3.4671940586253233e-125,2.3560486679195235e-144,0.002,7.370191176018011e-229,1.479963582870039e-185,2.6803892981606716e-20,2.3171906053881873e-111,7.612064973281791e-24,5.1198621802985125e-73,1.923695289225727e-26,1.1027115822830798e-21,2.6465077974793916e-22,2.1107109720887873e-49,4.989329662895898e-214,1.1913256288208165e-155
2.3556195844838418e-24,0.041572359999999996,5.311908726792911e-22,0.938,0.0,0.0,0.026632463764571745,0.01,0.05,5.5683034264856445e-124,1.5231091803639997e-142,0.002,7.709971042215259e-226,3.8403719639619454e-183,5.379522577427331e-20,7.48875963243089e-110,1.5277361170152962e-23,4.1209105009346073e-72,3.860842993061424e-26,2.2131344343723355e-21,5.311522642493604e-22,8.487075986941866e-49,2.609620401497465e-211,1.5456102653926313e-153
4.7194469027115295e-24,0.041572359999999996,1.0642325846362102e-21,0.938,0.0,0.0,0.026632463764571745,0.01,0.05,8.925919715141081e-123,9.796958660474438e-141,0.002,7.979562496625817e-223,9.898043161249292e-181,1.077778913596056e-19,2.408272868589062e-108,3.0607953563895316e-23,3.306771151582949e-71,7.735138400732818e-26,4.4339801385508455e-21,1.0641552332522027e-21,3.4036970650073234e-48,1.3504210714544053e-208,1.991749028237325e-151
