Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),NOX2(52)
0.0,0.054700809901540644,0.0,0.938,0.0,0.0,0.035042930870306827,0.01,0.05,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.145148852020415e-27,0.054700809901540644,2.3686739410495226e-24,0.938,0.0,0.0,0.035042930870306827,0.01,0.05,-1.6402635019280107e-132,8.960581226713894e-142,0.002,-8.281233400663543e-227,-1.661650051429352e-183,2.3956529054907236e-22,1.2621877468650466e-112,3.618303420460432e-25,4.541396176238536e-72,3.3033216450871305e-27,9.855710914185151e-24,2.3653706194044352e-24,1.4597588993046257e-49,-4.366294995743929e-211,-1.0069298657463632e-156,3.0122663893198295e-109
2.5606416785657164e-26,0.054700809901540644,6.632287034938663e-24,0.938,0.0,0.0,0.035042930870306827,0.01,0.05,8.395883575481021e-122,9.901691711989514e-140,0.002,5.2287311436118e-224,3.010322949283269e-181,6.707828135374026e-22,7.678504007018595e-111,1.013124957728921e-24,5.391545540430439e-71,9.249300606243964e-27,2.7595990559718416e-23,6.623037734332419e-24,8.816943751800021e-49,1.5340133681432813e-208,1.0190391877791101e-154,1.832508641926681e-107
5.852895265293066e-26,0.054700809901540644,1.5159513222716946e-23,0.938,0.0,0.0,0.035042930870306827,0.01,0.05,1.6192061181585126e-120,8.958306122396313e-138,0.002,1.1531007734374883e-220,1.2707856437489558e-178,1.5332178595140627e-21,3.4664437489268366e-109,2.3157141890946767e-24,5.293451383023787e-70,2.1141258528557634e-26,6.307654985078495e-23,1.5138371964188388e-23,4.244978879177973e-48,1.6880520606395957e-205,2.1340247378924286e-152,8.272819966987469e-106
1.2437402438747766e-25,0.054700809901540644,3.221396559827351e-23,0.938,0.0,0.0,0.035042930870306827,0.01,0.05,2.7718409919022717e-119,6.779781132587873e-136,0.002,1.70013047461384e-217,4.087480442129631e-176,3.2580879514673798e-21,1.3088632025777861e-107,4.920892651826188e-24,4.681997801855194e-69,4.492517437318497e-26,1.3403766843291803e-22,3.2169040423900324e-23,1.8538938021169997e-47,1.2441511571961006e-202,3.429497859947287e-150,3.12365941015572e-104
2.5606416785657164e-25,0.054700809901540644,6.632287034938664e-23,0.938,0.0,0.0,0.035042930870306827,0.01,0.05,4.575876489921213e-118,4.710078815428608e-134,0.002,2.0765674766521273e-214,1.1692389426237846e-173,6.707828135374006e-21,4.541054478120407e-106,1.0131249577289211e-23,3.935501263990061e-68,9.249300606243964e-26,2.7595990559718416e-22,6.62303773433242e-23,7.739641684114244e-47,7.59706588658093e-200,4.903199334482241e-148,1.0837425579749206e-102
5.194444547947596e-25,0.054700809901540644,1.345406798516129e-22,0.938,0.0,0.0,0.035042930870306827,0.01,0.05,7.43375130023688e-117,3.139247583248391e-132,0.002,2.3187422439656185e-211,3.161672688094542e-171,1.3607308503187223e-20,1.5123607380141502e-104,2.0551963428215256e-23,3.226561709190864e-67,1.87628669440949e-25,5.598043799257164e-22,1.3435305118217194e-22,3.161896166250735e-46,4.2412016878792585e-197,6.627885646361839e-146,3.609315198825059e-101
1.0462050286711354e-24,0.054700809901540644,2.7097629885606544e-22,0.938,0.0,0.0,0.035042930870306827,0.01,0.05,1.1983841632878703e-115,2.0500489054417645e-130,0.002,2.4784811866114424e-208,8.31691119225971e-169,2.740626923881351e-20,4.936597338335598e-103,4.1393391130067345e-23,2.6129533263650247e-66,3.778999961979677e-25,1.1274933285827807e-21,2.7059839885986745e-22,1.2780889847691417e-45,2.266599027450259e-194,8.716559955340152e-144,1.1781405952198388e-99
2.0997261764238873e-24,0.054700809901540644,5.438475368649704e-22,0.938,0.0,0.0,0.035042930870306827,0.01,0.05,1.9246014296557012e-114,1.3252902418473652e-128,0.002,2.5927438956502573e-205,2.158163413464656e-166,5.500419071006548e-20,1.5954229571329167e-101,8.307624653377152e-23,2.103132158861663e-65,7.584426497120051e-25,2.2628712258969083e-21,5.430890942152584e-22,5.1391395953641924e-45,1.1855225982076233e-191,1.1308750708945979e-141,3.807546824023332e-98
4.2067684719293906e-24,0.054700809901540644,1.0895900128827805e-21,0.938,0.0,0.0,0.035042930870306827,0.01,0.05,3.0851116625880474e-113,8.524545637872544e-127,0.002,2.683403329059409e-202,5.5623764644270595e-164,1.1020003365256714e-19,5.130641137186717e-100,1.6644195734117988e-22,1.6876311068516192e-64,1.5195279567400798e-24,4.5336270205251614e-21,1.0880704849260403e-21,2.0610248313798668e-44,6.13481829406259e-189,1.4573009607653904e-139,1.2244499971936853e-96
