Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),NOX2(52),N2X2(45)
0.0,0.05497191311922635,0.0,0.938,0.0,0.0,0.03521660748191784,0.01,0.05,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.318776693498243e-27,0.05497191311922635,2.4197782277429835e-24,0.938,0.0,0.0,0.03521660748191784,0.01,0.05,5.4320262518707735e-132,1.6741605122078698e-141,0.002,-2.1284990433836333e-226,-3.572220962656215e-183,2.4471780524451134e-22,1.8880373624782062e-112,3.793855449207879e-25,6.150781105250028e-72,3.533765768502019e-27,1.0067685258227007e-23,2.416244461974482e-24,1.7433475716532177e-49,-1.0655328072840523e-210,-1.7809790615646765e-156,4.446745899124953e-109,5.896430806260915e-124
2.6092574741795077e-26,0.05497191311922635,6.775379037680355e-24,0.938,0.0,0.0,0.03521660748191784,0.01,0.05,1.2843282360661884e-121,1.849993977116721e-139,0.002,1.3439241134924386e-223,6.471602578941224e-181,6.852098546846316e-22,1.1485852653840793e-110,1.0622795257782062e-24,7.302207328152894e-71,9.894544151805652e-27,2.8189518723035615e-23,6.76548449352855e-24,1.0529819332785527e-48,3.74354361076304e-208,1.80239708890647e-154,2.7051725351758667e-107,1.3941298052292227e-113
5.964017083838875e-26,0.05497191311922635,1.5486580657555097e-23,0.938,0.0,0.0,0.03521660748191784,0.01,0.05,2.476918741392085e-120,1.673735443849605e-137,0.002,2.9637781950936895e-220,2.731939326119477e-178,1.5661939535648715e-21,5.185262923338084e-109,2.4280674874930424e-24,7.169350456279623e-70,2.261610091841292e-26,6.443318565265282e-23,1.5463964556636682e-23,5.0696547383676934e-48,4.1194533497992235e-205,3.7744966252861512e-152,1.221244192352436e-105,2.6886789099771666e-112
1.267353630315761e-25,0.05497191311922635,3.290898389730458e-23,0.938,0.0,0.0,0.03521660748191784,0.01,0.05,4.240117936034946e-119,1.2667082178406143e-135,0.002,4.3697912147497415e-217,8.787279443656754e-176,3.3281621513253493e-21,1.9578566183730058e-107,5.159643410922716e-24,6.341209288268968e-69,4.8059214451627454e-26,1.3692051951188726e-22,3.2860924682852953e-23,2.2140514159997274e-47,3.036175703158825e-202,6.065828511244848e-150,4.611185700601679e-104,4.6026199710701294e-111
2.609257474179508e-25,0.05497191311922635,6.775379037680355e-23,0.938,0.0,0.0,0.03521660748191784,0.01,0.05,6.999772371594705e-118,8.800130012316872e-134,0.002,5.337335252680469e-214,2.513633880506486e-173,6.852098546846294e-21,6.792714125413132e-106,1.0622795257782061e-23,5.330168493312712e-68,9.894544151805653e-26,2.818951872303561e-22,6.765484493528549e-23,9.243228824906622e-47,1.853956951028786e-199,8.672396815517194e-148,1.5998345306853982e-102,7.598206599579868e-110
5.293065161907002e-25,0.05497191311922635,1.374434033358015e-22,0.938,0.0,0.0,0.03521660748191784,0.01,0.05,1.1371497278579367e-116,5.865249384567264e-132,0.002,5.959789344556926e-211,6.796974765515436e-171,1.389997133788815e-20,2.2622574112099247e-104,2.1549098951500754e-23,4.369994166034566e-67,2.0071789565091468e-25,5.718445226672937e-22,1.3724268544015057e-22,3.776160574104802e-46,1.0350055491624048e-196,1.1722887537720101e-145,5.328116945040669e-101,1.2343685043401749e-108
1.066068053736199e-24,0.05497191311922635,2.7682262925379735e-22,0.938,0.0,0.0,0.03521660748191784,0.01,0.05,1.8331824330534192e-115,3.830232487922844e-130,0.002,6.370361261632782e-208,1.7879724145312236e-168,2.7995716919971693e-20,7.384384977811776e-103,4.340170633893814e-23,3.5389345754056773e-66,4.0426280391663093e-25,1.1517431935411688e-21,2.764183664498807e-22,1.526384479666708e-45,5.53131575384498e-194,1.5417171859094323e-143,1.7391861123889668e-99,1.989907393344506e-107
2.1395911288271965e-24,0.05497191311922635,5.555810810897891e-22,0.938,0.0,0.0,0.03521660748191784,0.01,0.05,2.9440855964370402e-114,2.476121289979999e-128,0.002,6.664047063761584e-205,4.6396270924798965e-166,5.618720808413817e-20,2.3865056253326863e-101,8.71069211138129e-23,2.848442426637948e-65,8.113526204480635e-25,2.3115405352889187e-21,5.54769728469341e-22,6.13752485991513e-45,2.893100960780884e-191,2.0002036822465908e-141,5.620748988261549e-98,3.19578540124046e-106
4.2866372790091916e-24,0.05497191311922635,1.1130979847617727e-21,0.938,0.0,0.0,0.03521660748191784,0.01,0.05,4.719331902148878e-113,1.5926933040745048e-126,0.002,6.897066118252461e-202,1.1958015960263604e-163,1.1257019041246866e-19,7.674644445087824e-100,1.7451735066356242e-22,2.285695658741531e-64,1.6255322535109286e-24,4.631135218784415e-21,1.1114724525082615e-21,2.461421976337475e-44,1.4971160168258984e-188,2.5775603538366793e-139,1.8075486398431744e-96,5.122803433778276e-105
8.580729579373182e-24,0.05497191311922635,2.2281317921057395e-21,0.938,0.0,0.0,0.03521660748191784,0.01,0.05,7.55796714144005e-112,1.0218837125547346e-124,0.002,7.100270177362833e-199,3.071608600044946e-161,2.253361550691197e-19,2.461956309635621e-98,3.493382097630615e-22,1.831337975854414e-63,3.2538915196366586e-24,9.270324585775397e-21,2.2248779005861026e-21,9.858526614229646e-44,7.706083323185793e-186,3.3103953315385273e-137,5.79845203851019e-95,8.20412292092505e-104
1.7168914180101162e-23,0.05497191311922635,4.458199406793674e-21,0.938,0.0,0.0,0.03521660748191784,0.01,0.05,1.2098376770585977e-110,6.548260233377727e-123,0.002,7.29003194566727e-196,7.876602262442536e-159,4.508680843823822e-19,7.887986649378617e-97,6.989799279620596e-22,1.4661839125806983e-62,6.510610051888119e-24,1.8548703319757318e-20,4.4516887967417845e-21,3.945979851893604e-43,3.956007772904758e-183,4.2444364571202445e-135,1.8577954435118173e-93,1.313270661438204e-102
3.4345283381557126e-23,0.05497191311922635,8.918334636169541e-21,0.938,0.0,0.0,0.03521660748191784,0.01,0.05,1.936190780105742e-109,4.193513993892395e-121,0.002,7.474919561752137e-193,2.0181123582447308e-156,9.019319430087487e-19,2.525713116554506e-95,1.3982633643600558e-21,1.173392733298167e-61,1.3024047116391039e-23,3.7105460787720974e-20,8.905310589053149e-21,1.5789059284500578e-42,2.0281668002261106e-180,5.437446923278647e-133,5.948613381895959e-92,2.101721853584426e-101
