Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),NOX2(52),N2X2(45),N2X(46)
0.0,0.07384695533935311,0.0,0.938,0.0,0.0,0.04730850887943984,0.01,0.05,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.205775541856773e-27,0.07384695533935311,2.5050072972758264e-24,0.938,0.0,0.0,0.04730850887943984,0.01,0.05,-2.0160853497453876e-124,2.404652822960465e-130,0.002,-5.179474040966911e-210,-7.135837109869462e-170,2.4975958775275793e-22,8.496065098827231e-106,1.4875151379118485e-24,1.4532821221920714e-66,3.898231748467486e-26,1.027510408246313e-23,2.4660249797911512e-24,1.8771304410333513e-46,-5.353295463038575e-195,-4.894927667228379e-147,9.74438553998484e-103,-1.2447132997767098e-118,-5.2823180469198355e-133
2.2976171517198966e-26,0.07384695533935311,7.014020432372315e-24,0.938,0.0,0.0,0.04730850887943984,0.01,0.05,5.184385280968272e-114,2.6572083115958516e-128,0.002,3.2702951239887955e-207,1.292761624904703e-167,6.993268457077219e-22,5.168571001096201e-104,4.165042386153175e-24,1.7253365354664276e-65,1.0915048895708964e-25,2.877029143089675e-23,6.904869943415224e-24,1.1337867863841443e-45,1.880776907530841e-192,4.953793984898072e-145,5.927985241425397e-101,3.2007949435193936e-108,2.4450388493592365e-122
5.251696346788335e-26,0.07384695533935311,1.6032046702565288e-23,0.938,0.0,0.0,0.04730850887943984,0.01,0.05,9.998457328858338e-113,2.4040422766269256e-126,0.002,7.212036214736934e-204,5.457297909165221e-165,1.5984613616176486e-21,2.333340012713188e-102,9.520096882635829e-24,1.69394564162708e-64,2.494868319019192e-25,6.576066612776399e-23,1.5782559870663367e-23,5.458695322524989e-45,2.069636027945187e-189,1.0374006256927191e-142,2.6761759015290757e-99,6.17296167701496e-107,9.67536801873009e-121
1.115985473692521e-25,0.07384695533935311,3.406809924295124e-23,0.938,0.0,0.0,0.04730850887943984,0.01,0.05,1.711587769715637e-111,1.8194154392752116e-124,0.002,1.063341802816662e-200,1.755339193519748e-162,3.396730393437498e-21,8.810247916629855e-101,2.0230205875601136e-23,1.4982757366951403e-63,5.301595177915782e-25,1.3974141552149844e-22,3.3537939725159656e-23,2.383955660112359e-44,1.5253913781189515e-186,1.6671611919534162e-140,1.0104731000310652e-97,1.0567195878228472e-105,3.325602126593127e-119
2.297617151719896e-25,0.07384695533935311,7.014020432372314e-23,0.938,0.0,0.0,0.04730850887943984,0.01,0.05,2.825564042653002e-110,1.2639921480095233e-122,0.002,1.2987832623563554e-197,5.021212875735883e-160,6.993268457077178e-21,3.0566842795735052e-99,4.165042386153175e-23,1.2593910345776978e-62,1.0915048895708964e-24,2.8770291430896716e-22,6.904869943415223e-23,9.952545598358857e-44,9.314381725353543e-184,2.383562836459726e-138,3.5058005960317895e-96,1.744478969927853e-104,1.0993209029521117e-117
4.660880507774647e-25,0.07384695533935311,1.4228441448526694e-22,0.938,0.0,0.0,0.04730850887943984,0.01,0.05,4.590276952887879e-109,8.424454135925975e-121,0.002,1.4502507864172108e-194,1.3577576858696869e-157,1.4186344584356465e-20,1.0180034868575566e-97,8.449085983339298e-23,1.032524859348215e-61,2.2141956331295326e-24,5.836259118839041e-22,1.400702188521374e-22,4.065939620495904e-43,5.199924824049578e-181,3.2219742320503057e-136,1.1675779715571875e-94,2.8339975607945696e-103,3.5736886920412525e-116
9.38740721988415e-25,0.07384695533935311,2.8657283480835454e-22,0.938,0.0,0.0,0.04730850887943984,0.01,0.05,7.399918279634957e-108,5.501491207960192e-119,0.002,1.5501590567369226e-191,3.5716379293655177e-155,2.8572496838914755e-20,3.3229329331912576e-96,1.7017173177711544e-22,8.361654011149407e-61,4.459577120246805e-24,1.1754719070337752e-21,2.8211325768810768e-22,1.643517803385888e-42,2.7789634673031827e-178,4.237328925745638e-134,3.811168963085649e-93,4.568645974937008e-102,1.1525111478193212e-114
1.8840460644103154e-24,0.07384695533935311,5.751496754545297e-22,0.938,0.0,0.0,0.04730850887943984,0.01,0.05,1.1884246952874953e-106,3.556535940651086e-117,0.002,1.6216243450718214e-188,9.268078167262218e-153,5.734480134803018e-20,1.0739145047462391e-94,3.4153347566456034e-22,6.730186595631409e-60,8.95034009448135e-24,2.359163897333508e-21,5.661993353600483e-22,6.608512802875714e-42,1.4535098399255644e-175,5.497455043103139e-132,1.2317039528288589e-91,7.337231953084247e-101,3.7023234492988473e-113
3.774656749254116e-24,0.07384695533935311,1.1523033567468802e-21,0.938,0.0,0.0,0.04730850887943984,0.01,0.05,1.905029712620804e-105,2.28763873537504e-115,0.002,1.67832703105988e-185,2.3887227227137354e-150,1.1488941036625642e-19,3.4535481073379758e-93,6.842569634394501e-22,5.400550890647495e-59,1.793186604295044e-23,4.7265478779329325e-21,1.1343714907039295e-21,2.65030920691247e-41,7.521593234291793e-173,7.0842896086156585e-130,3.960975324235865e-90,1.1761489688583925e-99,1.1870295187263392e-111
