Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),NOX2(52),N2X2(45),N2X(46),O2X2(70)
0.0,0.10924808674370724,0.0,0.938,0.0,0.0,0.06998750399425421,0.01,0.05,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.878587890403691e-27,0.10924808674370724,2.890063165415806e-24,0.938,0.0,0.0,0.06998750399425421,0.01,0.05,-4.881386981355398e-118,7.146561751674352e-120,0.002,-9.991860244185076e-195,-1.466308720440416e-157,2.5464927803736596e-22,1.4999020496800318e-99,5.4016354358699e-24,1.5296469390615812e-61,3.7575936480428166e-25,1.0476265835881345e-23,2.5143038006115245e-24,1.2900820289901903e-43,-2.4652087048295625e-180,-2.9753884014925476e-138,7.222205556671241e-97,-2.4760516223692934e-114,-1.978637560063601e-127,6.826250907059563e-67
1.9260046093130334e-26,0.10924808674370724,8.092176863164255e-24,0.938,0.0,0.0,0.06998750399425421,0.01,0.05,5.893371414012185e-107,7.897149691783087e-118,0.002,6.308812749502491e-192,2.656433458307247e-155,7.130179785046243e-22,9.124636115627718e-98,1.512457922043572e-23,1.8159968460539086e-60,1.0521262214519886e-24,2.933354434046774e-23,7.040050641712269e-24,7.792095455100746e-43,8.661034386092229e-178,3.0111703740574854e-136,4.393620076982179e-95,2.989370436638398e-103,4.2999112858256767e-116,1.0315830320787233e-65
4.402296249858362e-26,0.10924808674370724,1.8496404258661155e-23,0.938,0.0,0.0,0.06998750399425421,0.01,0.05,1.1365787727477639e-105,7.144747230144417e-116,0.002,1.3912929659528427e-188,1.1213938036662378e-152,1.6297553794391393e-21,4.119296909284542e-96,3.4570466789567366e-23,1.782956472170178e-59,2.4048599347474025e-24,6.704810134964045e-23,1.6091544323913752e-23,3.751558540303471e-42,9.530736332827361e-175,6.305853734829757e-134,1.9834901221258957e-93,5.765214413561278e-102,1.701536323125698e-114,1.109729951738788e-64
9.35487953094902e-26,0.10924808674370724,3.9304859049654955e-23,0.938,0.0,0.0,0.06998750399425421,0.01,0.05,1.945654477027357e-104,5.40725242087274e-114,0.002,2.0513207735042766e-185,3.606961774302981e-150,3.463230181308163e-21,1.5553681338791833e-94,7.346224192783064e-23,1.577004808294927e-58,5.1103273613382304e-24,1.4247721536798553e-22,3.419453168831672e-23,1.6384041768175408e-41,7.024473304895556e-172,1.013386185473169e-131,7.489281296645378e-92,9.869192970178796e-101,5.848493621836145e-113,1.0200330152533139e-63
1.9260046093130335e-25,0.10924808674370724,8.092176863164255e-23,0.938,0.0,0.0,0.06998750399425421,0.01,0.05,3.2119716123941335e-103,3.7565497437622846e-112,0.002,2.5055171152532076e-182,1.0317847952157181e-147,7.130179785046184e-21,5.396294597733699e-93,1.512457922043572e-22,1.3255675630397405e-57,1.0521262214519886e-23,2.933354434046743e-22,7.040050641712266e-23,6.840014917705985e-41,4.289300878395035e-169,1.448851894048796e-129,2.598379593956718e-90,1.6292495932716016e-99,1.933295398703731e-111,8.726597199316918e-63
3.9070379217492966e-25,0.10924808674370724,1.6415558779561778e-22,0.938,0.0,0.0,0.06998750399425421,0.01,0.05,5.21801630978543e-102,2.5037244950234775e-110,0.002,2.797717118792864e-179,2.7899907263511724e-145,1.4464078992522124e-20,1.7971914054652288e-91,3.0681289275741034e-22,1.0867803755988388e-56,2.1343131920883196e-23,5.950518994780463e-22,1.4281245587473459e-22,2.7943692780739108e-40,2.3945810653401707e-166,1.9584813948111415e-127,8.65368891511267e-89,2.646801396202996e-98,6.284785348992685e-110,7.215319320234792e-62
7.869104546621823e-25,0.10924808674370724,3.306232261235682e-22,0.938,0.0,0.0,0.06998750399425421,0.01,0.05,8.41188769978795e-101,1.6350279880001884e-108,0.002,2.9904528032725666e-176,7.339186368847724e-143,2.913187740747358e-20,5.866332075750975e-90,6.179470938635166e-22,8.801029248439414e-56,4.298687133360982e-23,1.1984848116247681e-21,2.876363547899584e-22,1.1295287403183029e-39,1.279721058466081e-163,2.5756661185604097e-125,2.8247081919068414e-87,4.2668697787452134e-97,2.0268371983491264e-108,5.8673778422215996e-61
1.5793237796366874e-24,0.10924808674370724,6.635585027794692e-22,0.938,0.0,0.0,0.06998750399425421,0.01,0.05,1.3509466834915173e-99,1.0569926557946992e-106,0.002,3.1283183793711525e-173,1.9044526429952194e-140,5.846747423737485e-20,1.8958971582809528e-88,1.240215496075729e-21,7.083834011384069e-55,8.627435015906307e-23,2.4053506359181222e-21,5.772841526204061e-22,4.5417853863411254e-39,6.693456652303797e-161,3.3416354830110135e-123,9.128968773776989e-86,6.852580272548508e-96,6.511005903520167e-107,4.7322527901075607e-60
3.164150429585698e-24,0.10924808674370724,1.3294290560912718e-21,0.938,0.0,0.0,0.06998750399425421,0.01,0.05,2.1655503903047435e-98,6.798799118825877e-105,0.002,3.237705028831907e-170,4.908471011655959e-138,1.1713866789717072e-19,6.096921135229981e-87,2.4847523005001542e-21,5.68433066985258e-54,1.7284930780996956e-22,4.8190822845044735e-21,1.1565797482813021e-21,1.8214590762390784e-38,3.463716369715679e-158,4.306195018947378e-121,2.935739547283421e-84,1.0984599196313386e-94,2.0875421366742114e-105,3.801202791955087e-59
6.333803729483719e-24,0.10924808674370724,2.6611701627148793e-21,0.938,0.0,0.0,0.06998750399425421,0.01,0.05,3.4681091895831205e-97,4.3621594058783647e-103,0.002,3.333095557190626e-167,1.2608196716292868e-135,2.3448105521673575e-19,1.9558369836530719e-85,4.9738259093490046e-21,4.55438176258443e-53,3.459992231117825e-22,9.646545581675754e-21,2.3151709396030965e-21,7.295336985050622e-38,1.7828736468187626e-155,5.530504009704808e-119,9.417586109283809e-83,1.7591735307935826e-93,6.686567223001722e-104,3.0471345322685383e-58
