Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),NOX2(52),N2X2(45),N2X(46),O2X2(70),OH(D)(31)
0.0,0.05913344287745208,0.0,0.938,0.0,0.0,0.037882604564862705,0.01,0.05,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.52990079026881e-27,0.05913344287745208,2.57002909084682e-24,0.938,0.0,0.0,0.037882604564862705,0.01,0.05,2.8104824794244204e-130,2.7650390863526555e-138,0.002,-1.2225314987803979e-221,-2.6323714330727374e-179,2.5956205304522053e-22,1.6937332531397793e-110,5.829045862598154e-25,2.195058627988849e-70,7.218540210324409e-27,1.0678377294318731e-23,2.5628105506364957e-24,1.3314105959608001e-48,-3.7425298446657063e-206,-1.0550076059430243e-153,3.300437910553341e-107,7.303049491591436e-123,2.916296381102979e-138,1.0543345995228749e-74,1.1091274491395483e-51
2.668372221275267e-26,0.05913344287745208,7.196081454371097e-24,0.938,0.0,0.0,0.037882604564862705,0.01,0.05,2.0158216096732422e-119,3.0554451704798574e-136,0.002,7.719005392617003e-219,4.768927208785663e-177,7.267737485266174e-22,1.0303805925345848e-108,1.6321328415274834e-24,2.6059736031483707e-69,2.0211912588908345e-26,2.989945642409245e-23,7.17586954178219e-24,8.04171999960326e-48,1.3148655378010475e-203,1.0676951108571236e-151,2.0078174429986084e-105,5.238124286100369e-112,3.7650910359655e-127,1.5933104460147468e-73,6.699129792802873e-51
6.09913650577204e-26,0.05913344287745208,1.644818618141965e-23,0.938,0.0,0.0,0.037882604564862705,0.01,0.05,3.8876559621457536e-118,2.7643370420146907e-134,0.002,1.702285094656935e-215,2.0131674691194461e-174,1.6611971394894104e-21,4.65163052698898e-107,3.73058935206282e-24,2.5585603367838283e-68,4.619865734607622e-26,6.834161468363989e-23,1.6401987524073577e-23,3.8717420130540453e-47,1.446898395399348e-200,2.2359177217539525e-149,9.064247694525947e-104,1.0102096837345813e-110,1.4899003099159104e-125,1.7140106708544502e-72,3.2253426220978073e-50
1.2960665074765585e-25,0.05913344287745208,3.4952395635516753e-23,0.938,0.0,0.0,0.037882604564862705,0.01,0.05,6.655091060461213e-117,2.0920919496908932e-132,0.002,2.5098472159349234e-212,6.475350659821048e-172,3.530043921414993e-21,1.756367179082493e-105,7.927502373133491e-24,2.2630176431114375e-67,9.817214686041195e-26,1.4522593120273473e-22,3.485422348865635e-23,1.6908914568702559e-46,1.0664127931560468e-197,3.593245619697438e-147,3.422487461347266e-102,1.7293293178585648e-109,5.121061678950504e-124,1.5754711045450846e-71,1.4085918604072262e-49
2.668372221275267e-25,0.05913344287745208,7.196081454371097e-23,0.938,0.0,0.0,0.037882604564862705,0.01,0.05,1.0986515760413223e-115,1.453427150436431e-130,0.002,3.0655688947263953e-209,1.8522980759819186e-169,7.267737485266145e-21,6.093653659182218e-104,1.6321328415274834e-23,1.9022026860771845e-66,2.0211912588908347e-25,2.9899456424092443e-22,7.17586954178219e-23,7.059138979784515e-46,6.5117555893454856e-195,5.137311714583293e-145,1.187419890894089e-100,2.8548525662319953e-108,1.6928333380467763e-122,1.3478486993042421e-70,5.880593735337887e-49
5.412983648872684e-25,0.05913344287745208,1.459776523600994e-22,0.938,0.0,0.0,0.037882604564862705,0.01,0.05,1.7848170970481703e-114,9.687030404767012e-129,0.002,3.423083611703265e-206,5.008694137267657e-167,1.4743124612968396e-20,2.029441088962058e-102,3.310898049955752e-23,1.5595406882917327e-65,4.1001308394642643e-25,6.065318303173038e-22,1.4556763927615299e-22,2.8838886072752285e-45,3.635307263178847e-192,6.944346385059773e-143,3.9546040044778936e-99,4.6378576919531973e-107,5.503087716646779e-121,1.1144273694226953e-69,2.4024144199342275e-48
1.0902206504067518e-24,0.05913344287745208,2.9401132799287626e-22,0.938,0.0,0.0,0.037882604564862705,0.01,0.05,2.8772775184340837e-113,6.326001868682303e-127,0.002,3.658901007099034e-203,1.3175577751894663e-164,2.969389886837269e-20,6.624433725406569e-101,6.668428466812289e-23,1.2629564832016103e-64,8.258010000611125e-25,1.2216063624700618e-21,2.9318552699281517e-22,1.1657138844725308e-44,1.9427946401608154e-189,9.132748337029957e-141,1.2908486122824462e-97,7.476622481896898e-106,1.7747404677383241e-119,9.062338288727775e-69,9.710943198392335e-48
2.1880652214457186e-24,0.05913344287745208,5.900786792584299e-22,0.938,0.0,0.0,0.037882604564862705,0.01,0.05,4.620899228937512e-112,4.0895553876255667e-125,0.002,3.8275833207217406e-200,3.418943547304949e-162,5.959544737918046e-20,2.1409025121474164e-99,1.3383489300525363e-22,1.0165372524116857e-63,1.6573768322904842e-24,2.4517554267755764e-21,5.884213024261395e-22,4.687284259505815e-44,1.0161598595997389e-186,1.1848708063286732e-138,4.17179965950631e-96,1.2007433641453131e-104,5.701171101522685e-118,7.3091041356032e-68,3.904727549793746e-47
4.383754363523652e-24,0.05913344287745208,1.1822133817895373e-21,0.938,0.0,0.0,0.037882604564862705,0.01,0.05,7.407242892369287e-111,2.630488057401114e-123,0.002,3.9614208875603047e-197,8.811867998778888e-160,1.1939854440079266e-19,6.88482163902421e-98,2.681361096795151e-22,8.1570712578073e-63,3.320528496749228e-24,4.9120535553865996e-21,1.1788928532927882e-21,1.8798106319750716e-43,5.258403429282564e-184,1.5268825078478504e-136,1.341588250245797e-94,1.9247763715726113e-103,1.8278949642027916e-116,5.87106992784104e-67,1.5659703906754335e-46
8.775132647679521e-24,0.05913344287745208,2.3664827868517523e-21,0.938,0.0,0.0,0.037882604564862705,0.01,0.05,1.1862632116091844e-109,1.6877404423075049e-121,0.002,4.0781338182453665e-194,2.2634699278644273e-157,2.390047384440038e-19,2.208588318760033e-96,5.367385430280382e-22,6.53558329562385e-62,6.646831825666717e-24,9.832649812608618e-21,2.359835955026086e-21,7.529047568099594e-43,2.7066502870323375e-181,1.9609956823769147e-134,4.3036933850594415e-93,3.0825117832010337e-102,5.85489621514872e-115,4.706389239833874e-66,6.272049620888178e-46
1.7557889215991259e-23,0.05913344287745208,4.735021596976182e-21,0.938,0.0,0.0,0.037882604564862705,0.01,0.05,1.898904680567337e-108,1.0815089313150434e-119,0.002,4.187125991231052e-191,5.80427218121418e-155,4.782171265303729e-19,7.076208094474476e-95,1.0739434097250843e-21,5.232440550945286e-61,1.3299438483501692e-23,1.9673842327052554e-20,4.721722158492681e-21,3.013581153668449e-42,1.3894905001171508e-178,2.5142983632337853e-132,1.378882140941764e-91,4.9343145238295353e-101,1.8744679614204468e-113,3.7689284414710427e-65,2.510454391659617e-45
3.5123402352614734e-23,0.05913344287745208,9.472099217225041e-21,0.938,0.0,0.0,0.037882604564862705,0.01,0.05,3.0389545241678497e-107,6.925996636238367e-118,0.002,4.293318629194779e-188,1.4871480140028288e-152,9.566419027028987e-19,2.2657837014790304e-93,2.148353143119176e-21,4.1875426862725633e-60,2.6604651799171647e-23,3.935622735594e-20,9.44549456542587e-21,1.205824998594671e-41,7.123642473864228e-176,3.2210080250498696e-130,4.4151452649191255e-90,7.896739774691069e-100,5.999739352640118e-112,3.0166703191710095e-64,1.0045087584914217e-44
7.025442862586167e-23,0.05913344287745208,1.894625445772276e-20,0.938,0.0,0.0,0.037882604564862705,0.01,0.05,4.8628935122373e-106,4.434027038776923e-116,0.002,4.3992800218165056e-185,3.808705336109861e-150,1.9134914550471012e-18,7.2527440969371e-92,4.29717260990736e-21,3.350670383186121e-59,5.321507843051155e-23,7.872099741371322e-20,1.889303937929225e-20,4.824085180496388e-41,3.649726515439022e-173,4.1246231211527506e-128,1.4132822311565848e-88,1.263625286882533e-98,1.9201472930284975e-110,2.4139474309288173e-63,4.0186891307875415e-44
